dialogue,utterance,all_events
Alex be a cop and therefore regard Jesse with observant eye .,Alex>>be>>a>>cop>>and>>therefore>>regard>>Jesse>>with>>observant>>eye>>.,Alex calls the cops||Alex regards Jesse as one||Alex calls the cops on Jesse||Alex calls the cops on Jesse||Alex regards Jesse with eyes||Alex makes Jesse observation||Alex is pulled over by a cop||Alex observes every ||Alex observes Jesse closely
Bailey move the goalpost so they could make a field goal from farther .,Bailey>>move>>the>>goalpost>>so>>they>>could>>make>>a>>field>>goal>>from>>farther>>.,Alex carries the  farther||Alex moves the goalposts||Alex goes a  farther||Alex knows could make||Alex sees if could make||Alex sees could be made||Alex pursues the  farther
"Jesse be not happy with how thing be go , and Alex take Jesse 's complaint seriously .","Jesse>>be>>not>>happy>>with>>how>>thing>>be>>go>>,>>and>>Alex>>take>>Jesse>>'s>>complaint>>seriously>>.",Alex lets things go||Alex takes seriously the ||Alex takes the  seriously||Alex goes home happy||Alex takes this  seriously||Alex takes it seriously||Alex takes  seriously
Alex put their hand on Jesse 's wrist so Jesse could not escape the situation .,Alex>>put>>their>>hand>>on>>Jesse>>'s>>wrist>>so>>Jesse>>could>>not>>escape>>the>>situation>>.,Alex puts  on Jesse's wrist||Alex puts  on Alex's wrist||Alex puts it on Alex's wrist||Alex is so excited Jesse could n't sleep||Alex puts it on Jesse's wrist
Remy pay her taxis and her friend ask her why she do that .,Remy>>pay>>her>>taxis>>and>>her>>friend>>ask>>her>>why>>she>>do>>that>>.,Alex pays taxes||Alex asks a friend||Alex pays Jesse taxes||Alex pays Alex's taxes||Alex asks friends
Alex come up with an idea to solve the issue of dehydration worldwide .,Alex>>come>>up>>with>>an>>idea>>to>>solve>>the>>issue>>of>>dehydration>>worldwide>>.,Alex is coming up soon
Bailey forget to bring the present to a birthday party .,Bailey>>forget>>to>>bring>>the>>present>>to>>a>>birthday>>party>>.,Alex brings  to the party||Alex forgets Jesse's birthday||Alex throws a birthday party||Alex is having a birthday party||Alex has a birthday party||Alex is having Alex's birthday party
Alex be an outrageous fool so he steal Jesse 's tool .,Alex>>be>>an>>outrageous>>fool>>so>>he>>steal>>Jesse>>'s>>tool>>.,Alex grabs Alex's tools||Alex uses  as a tool||Alex plays the fool||Alex grabs Jesse's tools
"teach the anatomy class , Alex touch a nerve to demonstrate .","teach>>the>>anatomy>>class>>,>>Alex>>touch>>a>>nerve>>to>>demonstrate>>.",Alex teaches the class||Alex touches a nerve
Kendall increase to Skylar 's rate and feel that Skylar be too expensive and want to charge less themselves .,Kendall>>increase>>to>>Skylar>>'s>>rate>>and>>feel>>that>>Skylar>>be>>too>>expensive>>and>>want>>to>>charge>>less>>themselves>>.,Alex increases Alex's rate||Alex increases Jesse's rate||Alex divides the  among themselves||Alex pays  at the rate||Alex eats less||Alex increases Alex's  at the expense||Alex increases the  at the expense||Alex increases at Jesse rate||Alex pays  at a rate||Alex presses charges
Alex turn the stove off every time she finish cooking .,Alex>>turn>>the>>stove>>off>>every>>time>>she>>finish>>cooking>>.,Alex finishes in time||Alex turns the stove||Alex finishes  on time||Alex finishes on time||Alex cooks  on the stove
Tracy wear Alex 's jacket to school because it be very cold outside that day .,Tracy>>wear>>Alex>>'s>>jacket>>to>>school>>because>>it>>be>>very>>cold>>outside>>that>>day>>.,Alex gets very cold||Alex is cold outside||Alex is very hot outside||Alex wears a jacket||Alex gets cold outside||Alex wears  to school the next day||Alex is very hungry one day
Skylar have be work every day at get her blackbelt and finally join Sasha as have one .,Skylar>>have>>be>>work>>every>>day>>at>>get>>her>>blackbelt>>and>>finally>>join>>Sasha>>as>>have>>one>>.,Alex has a bad day at work||Alex works every day||Alex has  every day||Alex starts working out every day||Alex has a  every day||Alex has a bad day at work||Alex works for days||Alex works that day||Alex has a hard day at work||Alex works hard every day||Alex has a  every day||Alex has a long day at work||Alex has  every day
Alex bring a bag of food for their school lunch period today .,Alex>>bring>>a>>bag>>of>>food>>for>>their>>school>>lunch>>period>>today>>.,Alex brings food||Alex goes to school today||Alex brings  to school||Alex brings it to school||Alex brings the food
Bob Jesse 's coworker . Jesse be lazy and give Bob a command .,Bob>>Jesse>>'s>>coworker>>.>>Jesse>>be>>lazy>>and>>give>>Bob>>a>>command>>.,Alex feels lazy||Alex tells Alex's coworkers||Alex tells Jesse's coworkers||Alex is feeling lazy||Alex gives Jesse command||Alex gives Jesse the command
Casey go on Jesse 's way and then tell them that they love them very much .,Casey>>go>>on>>Jesse>>'s>>way>>and>>then>>tell>>them>>that>>they>>love>>them>>very>>much>>.,Alex loves very much||Alex loves it very much||Alex goes Jesse's ways||Alex goes on Jesse's way||Alex goes Jesse's separate ways||Alex loves  very much||Alex goes Jesse's way||Alex loves  much||Alex loves Jesse very much||Alex loves Jesse very much||Alex goes the way of ||Alex lets them have it
Taylor attend their father 's concert and be very proud of him .,Taylor>>attend>>their>>father>>'s>>concert>>and>>be>>very>>proud>>of>>him>>.,Alex attends Jesse's father 's ||Alex feels very proud||Alex attends a concert||Alex attends Alex's father 's ||Alex attends the concert
"Ash decide to meal prep on Sunday to save time . so , Ash have sandwich to eat every day of the week .","Ash>>decide>>to>>meal>>prep>>on>>Sunday>>to>>save>>time>>.>>so>>,>>Ash>>have>>sandwich>>to>>eat>>every>>day>>of>>the>>week>>.",Alex eats it every day||Alex saves time||Alex rises from the ashes||Alex eats the sandwich||Alex eats Jesse every day||Alex eats  every day||Alex eats sandwiches||Alex decides to save up||Alex eats a sandwich||Alex eats  every single day||Alex eats  for a week
Addison be play a game of poker and notice Alex stand in the background watch on but too shy to ask to play .,Addison>>be>>play>>a>>game>>of>>poker>>and>>notice>>Alex>>stand>>in>>the>>background>>watch>>on>>but>>too>>shy>>to>>ask>>to>>play>>.,Alex is really shy||Alex is playing a game||Alex learns how to play poker||Alex plays a game||Alex plays poker||Alex is playing a game||Alex watches Jesse play||Alex asks to play||Alex plays poker||Alex plays games||Alex is playing poker||Alex is playing poker||Alex plays a game
Alex repeat the Lord 's request so that everyone would know what to do .,Alex>>repeat>>the>>Lord>>'s>>request>>so>>that>>everyone>>would>>know>>what>>to>>do>>.,Alex knows what is what||Alex does n't know what to do at first||Alex knows everyone||Alex repeats the lord 's ||Alex does n't know what to eat||Alex knows the  of the lord||Alex knows would have done
Alex need to call his mom to pick him up and realize he lose his phone .,Alex>>need>>to>>call>>his>>mom>>to>>pick>>him>>up>>and>>realize>>he>>lose>>his>>phone>>.,Alex says hi||Alex says hi to Jesse||Alex says hi to Jesse||Alex immediately picked  up||Alex calls  to pick Jesse up||Alex calls  to pick Jesse up||Alex loses Jesse's phone||Alex immediately picked it up||Alex realizes Jesse was lost||Alex realizes that Jesse was lost||Alex picks  up quickly||Alex stops Jesse in his tracks||Alex stops Jesse in his tracks||Alex plays  with his friends||Alex picks it up quickly||Alex tries to pick it up
Ash redeem themselves after retake the test they fail .,Ash>>redeem>>themselves>>after>>retake>>the>>test>>they>>fail>>.,Alex redeems oneself||Alex fails Jesse's test||Alex retakes the test||Alex fails a test||Alex fails the test
Alex win the competition easily because of her performance that day .,Alex>>win>>the>>competition>>easily>>because>>of>>her>>performance>>that>>day>>.,Alex wins the day||Alex wins first place in the competition||Alex wins  easily||Alex wins easily||Alex wins the competition
"the security guard try to tackle Alex , but Alex get free of the guard .","the>>security>>guard>>try>>to>>tackle>>Alex>>,>>but>>Alex>>get>>free>>of>>the>>guard>>.",Alex calls security||Alex is caught off guard||Alex catches Jesse off guard||Alex gets free||Alex secures another ||Alex takes guard||Alex gets tackled||Alex takes guard||Alex catches off guard||Alex gets free food||Alex gets  for free||Alex lets Jesse's guard
Quinn get into a fight with a friend bring up the past and rub salt in the wound .,Quinn>>get>>into>>a>>fight>>with>>a>>friend>>bring>>up>>the>>past>>and>>rub>>salt>>in>>the>>wound>>.,Alex brings up the rear||Alex adds salt||Alex rubs salt in Jesse's wounds||Alex rubs salt in the wound||Alex puts salt
Tracy throw doubt on the history that be teach in book .,Tracy>>throw>>doubt>>on>>the>>history>>that>>be>>teach>>in>>book>>.,Alex throws the book||Alex throws  on the history||Alex leaves no  for doubt
Remy prevent them from engage by keep them away from each other .,Remy>>prevent>>them>>from>>engage>>by>>keep>>them>>away>>from>>each>>other>>.,Alex keeps  away||Alex prevents  from engaging||Alex receives  from others||Alex seeks  from others||Alex enjoys each other 's company||Alex keeps  away from Jesse||Alex receives  from others||Alex keeps  away from Jesse||Alex seeks  from others||Alex lets them have it
Kendall do not get the job because of footage that be catch of them shoplift .,Kendall>>do>>not>>get>>the>>job>>because>>of>>footage>>that>>be>>catch>>of>>them>>shoplift>>.,Alex does not get the job||Alex gets the job||Alex gets a job||Alex does n't catch any fish||Alex gets the job done||Alex does n't catch anything||Alex gets caught||Alex does n't get the job||Alex lets them have it
"Alex be a dedicated man of his trade that like build thing with his hand . his son , Jesse , often assist with tool in the workshop .","Alex>>be>>a>>dedicated>>man>>of>>his>>trade>>that>>like>>build>>thing>>with>>his>>hand>>.>>his>>son>>,>>Jesse>>,>>often>>assist>>with>>tool>>in>>the>>workshop>>.",Alex says hi||Alex builds things||Alex hands Jesse his head||Alex hands Jesse his hat||Alex says hi to Jesse||Alex hands Jesse his hat||Alex uses  as a tool||Alex says things like||Alex plays  with his friends||Alex hands Jesse his head
Alex give their friend some milk when they be thirsty .,Alex>>give>>their>>friend>>some>>milk>>when>>they>>be>>thirsty>>.,Alex gives  some milk||Alex feels thirsty||Alex gets thirsty||Alex is really thirsty||Alex buys some milk
Alex buy a new watch for their friend that they love a lot and want to see happy .,Alex>>buy>>a>>new>>watch>>for>>their>>friend>>that>>they>>love>>a>>lot>>and>>want>>to>>see>>happy>>.,Alex buys a new watch||Alex sees Jesse happy||Alex loves Jesse a lot||Alex is happy to see Jesse||Alex wants to buy a new car||Alex makes lots of new friends||Alex sees lots of animals||Alex makes a lot of new friends||Alex wants to buy a new house||Alex wants Jesse to be happy
Robin swing the car door open after they arrive to the new mall in town .,Robin>>swing>>the>>car>>door>>open>>after>>they>>arrive>>to>>the>>new>>mall>>in>>town>>.,Alex is new in town||Alex has just moved to a new town||Alex moves to a new town||Alex swings open the ||Alex is moving to a new town||Alex opens doors||Alex opens the car door||Alex just moved to a new town||Alex swings open
Alex make out of the store like a bandit with the item that they lift .,Alex>>make>>out>>of>>the>>store>>like>>a>>bandit>>with>>the>>item>>that>>they>>lift>>.,Alex places a recall for this item||Alex makes  to the store||Alex places a  for this item||Alex makes out like a bandit
Alex decide to stay at the hotel for another week .,Alex>>decide>>to>>stay>>at>>the>>hotel>>for>>another>>week>>.,Alex stays at a hotel||Alex stays another ||Alex stays here another ||Alex decides to stay
"the baseball game be intense , but in the end , Sasha save their team from destruction .","the>>baseball>>game>>be>>intense>>,>>but>>in>>the>>end>>,>>Sasha>>save>>their>>team>>from>>destruction>>.",Alex takes  to a baseball game||Alex saves the  from destruction||Alex saves Jesse from destruction||Alex sees a baseball game||Alex is at a baseball game||Alex saves Alex's  from destruction||Alex goes to a baseball game||Alex saves  from destruction||Alex saves Jesse's  from destruction
Alex know what he want to do this weekend since he love be outside so much .,Alex>>know>>what>>he>>want>>to>>do>>this>>weekend>>since>>he>>love>>be>>outside>>so>>much>>.,Alex knows what Jesse wanted||Alex loves  so much||Alex is in so much pain||Alex loves Jesse so much||Alex does n't know what to do at first||Alex wants to do something||Alex does not want to cook||Alex loves it so much||Alex spends the weekend||Alex knows what Jesse wanted||Alex does n't know what to do at first||Alex spends a weekend||Alex visits  this weekend||Alex is so much fun
Remy give Alex 's version of the story and Alex express gratitude before take question .,Remy>>give>>Alex>>'s>>version>>of>>the>>story>>and>>Alex>>express>>gratitude>>before>>take>>question>>.,Alex expresses Jesse gratitude||Alex acknowledges with gratitude the ||Alex expresses Alex's gratitude||Alex gives Jesse expression||Alex expresses Alex's gratitude||Alex takes  before work
Remy make hay get home from school on Friday the 13th .,Remy>>make>>hay>>get>>home>>from>>school>>on>>Friday>>the>>13th>>.,Alex is driving home from school||Alex stays home from school||Alex gets home from school||Alex gets  from school||Alex makes hay||Alex is walking home from school
"Sasha hate her neighbour dog as it bark all day and night so after go to the shop and buy poisonous slug pellet , Sasha give the dog some pill .","Sasha>>hate>>her>>neighbour>>dog>>as>>it>>bark>>all>>day>>and>>night>>so>>after>>go>>to>>the>>shop>>and>>buy>>poisonous>>slug>>pellet>>,>>Sasha>>give>>the>>dog>>some>>pill>>.",Alex plays all night||Alex gives the dog||Alex gets food poisoning||Alex decides to go shopping||Alex goes to the store to buy some||Alex gives the dog ||Alex studies all night||Alex gives the dog ||Alex names your poison||Alex hears a dog barking||Alex hears a dog barking||Alex buys  after work||Alex goes  after work||Alex pulls an all nighter||Alex buys a dog||Alex gives  some pills||Alex gives Jesse some pills||Alex goes shopping ||Alex is going grocery shopping||Alex goes shopping||Alex plays  all night||Alex has food poisoning||Alex takes a pill||Alex wants to go shopping||Alex sleeps all night||Alex goes  after school||Alex gives the dog
after start the bar fight Alex tell Jesse that he have well go quickly .,after>>start>>the>>bar>>fight>>Alex>>tell>>Jesse>>that>>he>>have>>well>>go>>quickly>>.,Alex starts a fight||Alex starts a fight with Jesse||Alex tells Jesse had gone||Alex goes well||Alex fights Jesse after school||Alex is going well||Alex goes as well||Alex starts a food fight||Alex quickly went
Alex Jesse 's test paper with observant eye to ensure accurate grading .,Alex>>Jesse>>'s>>test>>paper>>with>>observant>>eye>>to>>ensure>>accurate>>grading>>.,Alex predicts accurately the ||Alex takes  to ensure||Alex ensures Jesse's safety||Alex regards Jesse with eyes||Alex measures the  accurately||Alex makes Jesse observation||Alex ensures Jesse's success||Alex observes Jesse closely||Alex measures accurately the ||Alex measures  accurately
Skylar worked night shift and have just finish and drive home so when they get there they lie down pull the shade over their eye .,Skylar>>worked>>night>>shift>>and>>have>>just>>finish>>and>>drive>>home>>so>>when>>they>>get>>there>>they>>lie>>down>>pull>>the>>shade>>over>>their>>eye>>.,Alex pulls the  over Alex's eyes||Alex drives home at night||Alex works the night shift||Alex shades Jesse's eyes||Alex is pulled over by a cop||Alex pulls the wool over Jesse's eyes||Alex works last night||Alex takes  lying down||Alex just got home||Alex works all night||Alex works day and night||Alex drives home one night||Alex is driving home at night||Alex shades Alex's eyes||Alex gets pulled over||Alex is driving home one night||Alex works nights
Alex look a lot like her mother because they have similar facial feature and the same hair .,Alex>>look>>a>>lot>>like>>her>>mother>>because>>they>>have>>similar>>facial>>feature>>and>>the>>same>>hair>>.,Alex likes  a lot||Alex likes it a lot||Alex watches facial expressions||Alex looks like||Alex has long hair||Alex likes Jesse a lot||Alex has short hair
Ash wear a dress to his friend costume party .,Ash>>wear>>a>>dress>>to>>his>>friend>>costume>>party>>.,Alex wears the dress||Alex plays  with his friends||Alex wears Alex's new dress||Alex wears with Alex's prom dress||Alex wears a dress
Sasha spend Alex 's time try to get them to agree to a purchase that they do not want .,Sasha>>spend>>Alex>>'s>>time>>try>>to>>get>>them>>to>>agree>>to>>a>>purchase>>that>>they>>do>>not>>want>>.,Alex does n't want to play||Alex does n't want to waste it||Alex does n't want to go||Alex does n't want to fight||Alex agrees to try it||Alex does n't want to leave
Alex have fall to the ground and let out a scream of pain .,Alex>>have>>fall>>to>>the>>ground>>and>>let>>out>>a>>scream>>of>>pain>>.,Alex has chest pains||Alex lets the dog out||Alex has a lot of pain||Alex has back pain||Alex lets the cat out of the bag||Alex slips and fell to the ground||Alex screams in pain||Alex lets out a sigh of relief
Alex be try to teach Jesse how to swim underwater .,Alex>>be>>try>>to>>teach>>Jesse>>how>>to>>swim>>underwater>>.,Alex learns how to swim||Alex teaches  how to knit||Alex teaches  how to fish||Alex teaches  how to play||Alex knows how to swim
"to celebrate their twenty first birthday , Sasha spend a weekend with family at the beach .","to>>celebrate>>their>>twenty>>first>>birthday>>,>>Sasha>>spend>>a>>weekend>>with>>family>>at>>the>>beach>>.",Alex is celebrating Jesse's birthday||Alex celebrates Jesse's birthday||Alex spends a weekend||Alex spends  at the beach||Alex spends  on the beach||Alex spends the day at the beach||Alex spends the weekend||Alex is celebrating Alex's birthday
Alex grab Jesse 's tool for him because Jesse could not get them .,Alex>>grab>>Jesse>>'s>>tool>>for>>him>>because>>Jesse>>could>>not>>get>>them>>.,Alex uses  as a tool||Alex knows could get||Alex grabs Jesse's tools||Alex sees could get||Alex says could get||Alex is  before could get||Alex grabs Alex's tools||Alex lets them have it
Alex make Alex escape jail because the guard be not watch .,Alex>>make>>Alex>>escape>>jail>>because>>the>>guard>>be>>not>>watch>>.,Alex makes Jesse escape||Alex sends to jail||Alex spends  in jail||Alex takes guard||Alex makes Alex's escape||Alex spends the  in jail||Alex takes  to jail
"Alex improve Jesse 's work , but then Jesse stop talk to Alex anyway .","Alex>>improve>>Jesse>>'s>>work>>,>>but>>then>>Jesse>>stop>>talk>>to>>Alex>>anyway>>.",Alex has stopped working||Alex works anyway||Alex stops working||Alex stops talking||Alex stops talking to Jesse
"Alex open their mouth to speak about their belief , which happen to go against the belief of everyone else in the room .","Alex>>open>>their>>mouth>>to>>speak>>about>>their>>belief>>,>>which>>happen>>to>>go>>against>>the>>belief>>of>>everyone>>else>>in>>the>>room>>.",Alex opens Jesse's mouth to speak||Alex opens Jesse mouth||Alex goes against the grain||Alex goes somewhere else||Alex expresses Alex's belief||Alex goes to the emergency room||Alex goes to Jesse room||Alex goes back to the room||Alex pushes against an open door
Austin offer Alex a position because they know Alex be tire of live with their parent .,Austin>>offer>>Alex>>a>>position>>because>>they>>know>>Alex>>be>>tire>>of>>live>>with>>their>>parent>>.,Alex lives with Jesse's parents||Alex offers Jesse a position||Alex offers  a position||Alex offer Jesse a position
Alex be finally on vacation and go to the beach . Alex feel relaxed lay in the sun .,Alex>>be>>finally>>on>>vacation>>and>>go>>to>>the>>beach>>.>>Alex>>feel>>relaxed>>lay>>in>>the>>sun>>.,Alex goes  at the beach||Alex feels very relaxed||Alex decides to go to the beach||Alex is going to the beach||Alex wants to go on a vacation||Alex loves going to the beach||Alex wants to go to the beach||Alex feels more relaxed||Alex is going on vacation||Alex is on vacation at the beach||Alex feels relaxed
"even though Ash already know about the surprise party , Ash throw up their arm anyway , act surprise to make the kid happy .","even>>though>>Ash>>already>>know>>about>>the>>surprise>>party>>,>>Ash>>throw>>up>>their>>arm>>anyway>>,>>act>>surprise>>to>>make>>the>>kid>>happy>>.",Alex throws Jesse a surprise party||Alex surprises  with a party||Alex throws a surprise party||Alex throws a surprise party||Alex surprises Jesse with a party||Alex throws a surprise party||Alex surprises  with a party||Alex rises from the ashes||Alex throws Jesse a surprise party||Alex makes Jesse act||Alex makes Jesse happy||Alex throws Jesse a surprise birthday party||Alex throws Jesse's arms||Alex knows  already||Alex throws Jesse a surprise party||Alex makes people happy||Alex knows beans about ||Alex makes  anyway
Alex give his friend a special gift of a rare and collectible acoustical guitar .,Alex>>give>>his>>friend>>a>>special>>gift>>of>>a>>rare>>and>>collectible>>acoustical>>guitar>>.,Alex gives Jesse a special gift||Alex gives  a gift||Alex plays  with his friends||Alex gives  a special gift||Alex gives gifts
Alex go out with some good friend to celebrate Alex 's upcoming promotion at work .,Alex>>go>>out>>with>>some>>good>>friend>>to>>celebrate>>Alex>>'s>>upcoming>>promotion>>at>>work>>.,Alex goes out with Jesse's friends||Alex is a good friend||Alex is going out with friends||Alex celebrates the lord 's ||Alex goes  with some friends||Alex gets a promotion at work
Alex set the brush and trim branch on fire in the fire pit .,Alex>>set>>the>>brush>>and>>trim>>branch>>on>>fire>>in>>the>>fire>>pit>>.,Alex sets the  on fire||Alex sets fire to Jesse||Alex sets it on fire||Alex sets Jesse on fire||Alex sets  on fire
Alex take the family out for dinner to their favorite downtown restaurant .,Alex>>take>>the>>family>>out>>for>>dinner>>to>>their>>favorite>>downtown>>restaurant>>.,Alex takes  to Alex's favorite restaurant||Alex takes Jesse to Alex's favorite restaurant||Alex takes Jesse out for dinner||Alex takes  out to dinner||Alex takes  out for dinner
Jordan teach art in school to pass their love of create and draw to other .,Jordan>>teach>>art>>in>>school>>to>>pass>>their>>love>>of>>create>>and>>draw>>to>>other>>.,Alex loves art||Alex teaches  in schools||Alex loves to draw||Alex teaches Jesse the art||Alex teaches  in the schools
Skylar lend little attention to the view of the house while tour it for a home purchase .,Skylar>>lend>>little>>attention>>to>>the>>view>>of>>the>>house>>while>>tour>>it>>for>>a>>home>>purchase>>.,Alex takes a tour||Alex gives Jesse a tour||Alex lends  to the view||Alex lends a hand||Alex takes a bus tour||Alex lends  at interest
Jesse be have a difficult time remember information so he make note throughout his book .,Jesse>>be>>have>>a>>difficult>>time>>remember>>information>>so>>he>>make>>note>>throughout>>his>>book>>.,Alex would be difficult||Alex uses throughout the book||Alex helps Jesse remember||Alex makes book||Alex is difficult at first||Alex has a difficult time||Alex remembers Jesse well||Alex uses throughout this book||Alex discusses throughout this book||Alex makes a mental note
Alex and his friend crowd around Sydney to shield her from onlooker after split her pant .,Alex>>and>>his>>friend>>crowd>>around>>Sydney>>to>>shield>>her>>from>>onlooker>>after>>split>>her>>pant>>.,Alex crowds around Jesse||Alex splits the difference||Alex crowds around||Alex crowds in on ||Alex plays  with his friends||Alex splits hairs||Alex shields Alex's  from the sun||Alex splits the money
Alex take his son to the eye doctor instead of go to the birthday party for their other child .,Alex>>take>>his>>son>>to>>the>>eye>>doctor>>instead>>of>>go>>to>>the>>birthday>>party>>for>>their>>other>>child>>.,Alex takes  to a doctor||Alex takes  to the doctor||Alex is having Jesse's birthday party||Alex sees the eye doctor||Alex throws a birthday party||Alex is having a birthday party||Alex takes  to the eye doctor||Alex takes Jesse to a doctor||Alex has a birthday party||Alex is having Alex's birthday party
Alex Jesse into the execution when Jesse refuse to walk .,Alex>>Jesse>>into>>the>>execution>>when>>Jesse>>refuse>>to>>walk>>.,Alex refuses to go||Alex refuses to listen||Alex carries Alex's  into execution||Alex carries Jesse's  into execution||Alex carries this  into execution||Alex refuses to pay||Alex refuses to move||Alex carries Jesse into execution||Alex carries Jesse into execution||Alex refuses to eat it||Alex carries the  into execution
Alex tell Jesse the reason they steal money from Jesse be because Alex do not deserve it .,Alex>>tell>>Jesse>>the>>reason>>they>>steal>>money>>from>>Jesse>>be>>because>>Alex>>do>>not>>deserve>>it>>.,Alex does n't catch anything||Alex does n't have a lot of money||Alex steals  from the store||Alex does n't even care||Alex does n't come back||Alex does n't have much money||Alex steals the money||Alex steals Jesse's money||Alex steals money||Alex does n't know what to do at first||Alex does n't have enough money||Alex does n't feel well
Bailey and Alex both study hard for the big exam .,Bailey>>and>>Alex>>both>>study>>hard>>for>>the>>big>>exam>>.,Alex studies for Alex's exam||Alex studies hard ||Alex studies hard||Alex studies for an exam||Alex studies as hard
Robin go to the gym from work and spend all evening there before get home late .,Robin>>go>>to>>the>>gym>>from>>work>>and>>spend>>all>>evening>>there>>before>>get>>home>>late>>.,Alex goes home from work||Alex evens got ||Alex gets home late from work||Alex stops going to the gym||Alex goes home from work||Alex gets home late from work||Alex gets home late||Alex spends the evening||Alex gets home from work||Alex is working out at the gym||Alex goes to the gym every day||Alex spends the evening with Jesse||Alex goes  from work
Jordan make their friend laugh with a joke they tell .,Jordan>>make>>their>>friend>>laugh>>with>>a>>joke>>they>>tell>>.,Alex makes a joke||Alex tells the joke||Alex tells jokes||Alex makes jokes||Alex tells a joke
Alex shake Jesse 's head because he do not believe the story .,Alex>>shake>>Jesse>>'s>>head>>because>>he>>do>>not>>believe>>the>>story>>.,Alex does n't catch anything||Alex can n't believe Alex's eyes||Alex shakes Jesse's head||Alex can n't believe Jesse's luck||Alex can n't believe Alex's luck||Alex shakes Jesse's head ||Alex does n't know what to do at first||Alex shakes Jesse's heads||Alex shakes Jesse's head no||Alex shakes Jesse head
Alex solve the world 's water problem when he invent a new pump .,Alex>>solve>>the>>world>>'s>>water>>problem>>when>>he>>invent>>a>>new>>pump>>.,Alex solves the world 's ||Alex pumps gas||Alex solves problems||Alex solves Jesse problem||Alex solves the problem||Alex solves Jesse problems||Alex pumps iron
"after the interview go well , Alex shake Jesse 's hand again .","after>>the>>interview>>go>>well>>,>>Alex>>shake>>Jesse>>'s>>hand>>again>>.",Alex shakes Jesse's hand||Alex shakes Jesse's head again||Alex goes well||Alex goes home after school||Alex goes  after school||Alex goes home after work||Alex is going well||Alex shakes Jesse by the hand||Alex feels much better after||Alex goes as well||Alex shakes Jesse 's hand||Alex shakes Jesse's hands||Alex goes  after work
Alex ask Jesse 's friend to go to the wood with him .,Alex>>ask>>Jesse>>'s>>friend>>to>>go>>to>>the>>wood>>with>>him>>.,Alex asks Jesse's friends||Alex asks Jesse's friend||Alex asks a friend||Alex goes  in the woods||Alex goes camping in the woods||Alex goes for a walk in the woods||Alex asks friends
Alex in the pool after eat a meal from mcdonald 's recently .,Alex>>in>>the>>pool>>after>>eat>>a>>meal>>from>>mcdonald>>'s>>recently>>.,Alex eats at mcdonald 's||Alex plays pool||Alex eats Jesse's meal||Alex eats Alex's meal||Alex takes  to mcdonald 's
Bailey save money because they want to buy something good .,Bailey>>save>>money>>because>>they>>want>>to>>buy>>something>>good>>.,Alex buys something||Alex wants to save money||Alex wants something||Alex saves the money||Alex wants something different||Alex saves money||Alex wants to be the best||Alex wants something new
Jan use Alex 's approach on how to make money at the company .,Jan>>use>>Alex>>'s>>approach>>on>>how>>to>>make>>money>>at>>the>>company>>.,Alex makes the money||Alex uses Jesse approach||Alex makes Jesse approach||Alex knows how to use it||Alex uses the money||Alex learns how to use it||Alex makes money
"Ash perform well after drink coffee , but have to give it up due to acid reflux .","Ash>>perform>>well>>after>>drink>>coffee>>,>>but>>have>>to>>give>>it>>up>>due>>to>>acid>>reflux>>.",Alex drinks a cup of coffee||Alex drinks coffee||Alex gives the devil his due||Alex drinks the coffee||Alex is due today||Alex is due tomorrow||Alex drinks some coffee||Alex has had it up to here||Alex drinks coffee 
Jan have to move to another city for work but always visit home for christmas .,Jan>>have>>to>>move>>to>>another>>city>>for>>work>>but>>always>>visit>>home>>for>>christmas>>.,Alex moves to another city||Alex has always wanted to visit Jesse||Alex moves to a big city||Alex moves to new york city||Alex moves to the city||Alex has just moved to a new city||Alex has always wanted to visit||Alex visits the city||Alex visits  for christmas||Alex moves to a new city
Alex be have a sleepover in Jesse 's but during the night Alex get sick and be throw up in the bathroom so Jesse call Alex 's parent to collect Alex .,Alex>>be>>have>>a>>sleepover>>in>>Jesse>>'s>>but>>during>>the>>night>>Alex>>get>>sick>>and>>be>>throw>>up>>in>>the>>bathroom>>so>>Jesse>>call>>Alex>>'s>>parent>>to>>collect>>Alex>>.,Alex calls my parents||Alex calls Jesse 's parents||Alex takes up a collection||Alex gets sick||Alex is going to throw up||Alex gets sick of it||Alex throws  up in the air||Alex keeps  up at night||Alex calls Jesse's parents||Alex is getting sick||Alex has to go to the bathroom||Alex gets sick ||Alex calls Jesse's parents||Alex calls Jesse 's parents||Alex has to call in sick
"after get a passport and plane ticket , Alex visit another country .","after>>get>>a>>passport>>and>>plane>>ticket>>,>>Alex>>visit>>another>>country>>.",Alex gets tickets||Alex gets Alex's passport||Alex visits another ||Alex buys a plane ticket||Alex gets a ticket||Alex gets a parking ticket||Alex gets  after school
"know that the assignment be part of the semester grade , Alex take schoolwork seriously .","know>>that>>the>>assignment>>be>>part>>of>>the>>semester>>grade>>,>>Alex>>take>>schoolwork>>seriously>>.",Alex assigns a  to a variable||Alex takes seriously the ||Alex takes the  seriously||Alex assigns  to groups||Alex assigns  in courses||Alex takes this  seriously||Alex takes it seriously||Alex takes  seriously
